사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
24-Oct,2호선,223,교대(법원.검찰청),19,2,"2,952","6,799","11,484","29,300","25,562","57,156","37,053","158,293","30,507","133,685","28,551","70,387","34,314","60,047","36,832","56,263","43,697","59,699","51,772","52,147","55,745","49,060","60,829","52,138","96,360","65,006","131,212","72,199","62,845","42,808","53,653","26,831","50,617","24,186","41,006","22,560","15,543","11,949","2,886","3,197",8,44,0,0,0,0
24-Oct,2호선,224,서초,6,1,"2,259","5,183","13,415","24,826","20,876","54,907","31,902","117,004","29,361","92,457","25,058","46,188","30,592","34,872","31,249","27,902","34,156","28,903","35,086","26,276","44,189","23,421","53,109","25,043","74,084","27,219","95,216","28,870","44,534","19,986","31,186","12,718","31,198","11,935","18,252","11,107","6,362","5,897",919,"1,407",1,28,0,0,0,0
24-Oct,2호선,225,방배,11,0,"2,571","3,428","9,352","12,981","22,667","28,462","32,080","74,608","25,646","56,753","21,001","32,703","22,963","27,880","25,335","28,856","28,870","26,956","31,044","26,065","33,736","25,455","41,682","26,058","50,769","32,522","62,615","38,028","29,635","25,405","23,214","17,195","22,720","16,122","18,927","15,589","7,038","8,829","1,452","2,519",0,15,0,0,0,0
24-Oct,2호선,226,사당,119,3,"13,849","4,420","31,077","41,548","80,204","54,765","107,510","77,570","81,160","55,689","55,258","49,067","50,349","61,550","57,576","61,457","60,339","57,032","65,703","56,973","68,352","69,289","70,907","92,147","86,012","132,648","103,201","179,911","75,930","120,709","73,259","75,618","75,833","70,450","67,431","65,241","36,879","38,194","6,130","10,848",11,652,0,1,0,0
24-Oct,2호선,227,낙성대(강감찬),32,3,"12,192","2,369","28,062","10,562","83,192","20,658","124,349","45,186","81,774","38,184","47,921","31,560","42,414","27,405","44,861","30,677","43,994","33,338","39,699","34,016","41,077","40,777","43,930","48,062","49,614","64,613","53,131","103,114","31,444","84,639","25,772","56,794","22,362","54,858","17,024","52,760","8,764","31,354","1,527","8,391",3,191,0,0,0,0
24-Oct,2호선,228,서울대입구(관악구청),"5,096",31,"29,509","2,667","44,937","15,250","127,263","28,448","177,042","72,127","119,455","66,208","73,082","55,957","64,686","48,550","71,959","52,751","76,847","57,614","66,789","58,005","69,521","68,239","77,140","79,568","85,400","109,431","90,983","172,747","56,457","136,296","48,348","89,107","48,364","84,348","41,583","81,086","22,299","47,586","3,896","18,120",3,"2,700",0,1,0,0
24-Oct,2호선,229,봉천,89,0,"16,920","1,629","29,923","7,836","84,818","13,200","122,805","27,776","77,098","21,788","46,457","20,097","38,014","23,006","38,847","25,449","38,034","26,671","33,951","30,452","31,355","40,671","33,457","46,545","32,725","59,986","33,727","90,818","20,434","72,459","16,909","47,676","14,507","44,959","10,680","41,198","4,629","23,389",931,"7,909",1,373,0,0,0,0
24-Oct,2호선,230,신림,226,11,"40,257","4,281","70,319","17,626","180,549","28,564","267,240","45,090","168,111","44,604","97,808","42,999","81,362","48,359","86,101","52,758","81,778","60,378","74,934","64,631","72,096","83,968","76,485","106,062","79,427","138,704","80,159","225,088","55,210","191,647","46,603","129,585","42,972","123,711","36,562","113,228","21,119","72,132","4,324","22,615",6,601,0,0,0,0
24-Oct,2호선,231,신대방,382,11,"26,491","2,081","36,193","9,831","90,523","14,832","132,899","25,292","84,672","18,770","49,127","19,067","40,517","20,177","40,034","23,731","37,890","27,937","32,932","31,383","32,358","41,959","33,622","49,495","34,442","65,999","32,321","94,518","21,035","79,968","16,175","57,421","13,033","59,648","10,394","55,252","5,172","32,254","1,013","8,912",12,327,0,0,0,0
24-Oct,2호선,232,구로디지털단지,510,35,"42,932","4,805","55,377","19,371","139,962","79,748","184,466","216,630","119,390","136,902","75,156","59,696","67,780","48,709","73,705","52,578","72,146","65,937","66,658","63,235","71,754","72,311","86,480","87,965","137,087","116,532","197,052","165,330","98,596","130,138","62,594","89,446","50,983","87,677","39,644","83,942","18,273","49,035","3,198","13,945",3,468,0,0,0,0
24-Oct,2호선,233,대림(구로구청),992,42,"40,227","3,447","30,519","11,369","67,119","21,971","97,074","51,775","66,066","35,374","42,750","34,053","36,575","36,120","38,432","34,487","37,980","35,829","35,174","36,641","36,262","44,856","40,692","54,524","45,721","66,932","51,591","71,064","26,077","52,445","19,432","42,265","15,152","50,676","10,989","45,996","5,509","23,018",681,"5,600",4,297,0,0,0,0
24-Oct,2호선,234,신도림,"5,031",18,"41,038","5,763","54,154","22,415","137,209","45,907","150,627","109,529","95,932","75,537","67,973","67,037","66,021","70,047","75,295","71,128","79,477","73,749","78,749","72,656","85,109","81,753","90,374","96,834","109,833","124,496","126,027","176,730","76,819","124,505","69,559","79,146","57,693","73,695","46,200","68,906","22,904","48,106","2,606","21,098",10,"2,399",0,0,0,0
24-Oct,2호선,235,문래,11,0,"4,370","2,412","14,714","10,778","44,184","39,868","51,228","134,095","30,009","64,429","22,552","28,919","23,117","24,858","27,145","26,899","28,241","29,609","28,538","27,343","30,894","29,555","38,279","35,340","65,749","44,347","111,718","64,258","40,009","43,313","29,842","24,983","30,015","21,482","25,552","18,723","12,310","10,660","1,949","3,673",2,149,0,0,0,0
24-Oct,2호선,236,영등포구청,39,0,"5,387","4,095","13,724","17,967","40,240","39,052","51,623","121,037","32,994","52,712","25,198","29,715","26,945","27,391","30,168","28,349","30,535","30,829","32,276","28,384","35,497","29,663","41,320","34,253","59,998","42,451","99,393","59,924","37,984","39,695","29,204","25,067","26,269","22,379","19,216","19,661","8,833","13,432","1,480","4,626",1,204,0,0,0,0
24-Oct,2호선,237,당산,43,6,"9,015","3,841","19,219","13,320","48,504","28,489","57,907","74,151","37,410","33,936","28,290","19,287","26,660","18,611","27,169","22,038","26,291","24,544","24,016","24,933","25,375","30,039","31,102","38,315","44,935","55,002","57,413","78,876","27,863","53,746","24,452","37,373","22,955","35,362","18,584","30,990","9,299","20,442","1,487","5,030",3,176,0,1,0,0
24-Oct,2호선,238,합정,139,12,"10,564","3,066","18,658","14,211","42,728","33,005","54,113","94,145","37,982","87,052","31,007","56,549","33,983","54,370","38,682","58,153","43,095","63,814","45,725","59,041","50,291","60,460","61,058","70,996","81,884","87,507","116,823","116,888","80,798","80,783","68,750","47,175","75,286","38,533","68,392","34,133","34,818","22,600","5,580","8,188",2,380,0,0,0,0
24-Oct,2호선,239,홍대입구,"1,018",36,"26,192","3,681","31,450","19,900","62,063","43,272","82,814","114,570","70,128","150,953","66,312","124,409","73,992","145,046","84,709","160,952","100,916","180,010","111,904","167,976","136,218","168,119","165,693","184,023","190,329","209,297","218,588","247,786","180,911","185,557","175,719","116,576","196,580","96,381","188,444","77,782","96,089","52,750","11,671","20,028",12,"2,008",0,1,0,0
